Date,Close,Volume,tvalue
2017.02.08,267.72,63294,3302927
2017.02.09,267.69,71015,3379874
2017.02.10,268.66,81252,3659012
2017.02.13,268.81,70111,2992090
2017.02.14,267.9,67241,3347776
2017.02.15,268.81,74601,3527477
2017.02.16,268.93,64520,3134801
2017.02.17,268.84,56739,3285730
2017.02.20,269.73,53901,2447776
2017.02.21,272.11,60765,2880673
2017.02.22,272.85,63505,2982864
2017.02.23,272.89,63152,3404027
2017.02.24,270.38,114285,3990349
2017.02.27,268.97,79984,3292356
2017.02.28,270.06,86062,3946705
2017.03.02,272.65,103651,4985511
2017.03.03,269.77,76412,3931142
2017.03.06,270.41,71184,3553351
2017.03.07,271.87,68610,3004388
2017.03.08,272.29,66962,3340964
2017.03.09,271.62,69696,3360037
2017.03.10,272.29,65972,3190725
2017.03.13,275.41,71062,3175519
2017.03.14,277.89,80100,3883386
2017.03.15,277.89,70961,3255827
2017.03.16,280.11,84109,3671868
2017.03.17,281.86,84248,3760847
2017.03.20,280.75,58059,2872861
2017.03.21,283.84,81376,4209179
2017.03.22,282.63,88487,4261298
2017.03.23,282.81,74832,3821380
2017.03.24,282.31,69544,3773118
2017.03.27,280.36,69514,3409274
2017.03.28,281.25,61454,3095926
2017.03.29,281.86,66376,3575662
2017.03.30,281.66,56456,2888861
2017.03.31,280.64,58192,2979475
2017.04.03,281.6,55915,2719852
2017.04.04,280.92,58630,2797934
2017.04.05,280.74,71884,3203800
2017.04.06,279.47,56158,2689053
2017.04.07,279.01,59231,2745240
2017.04.10,277.21,58313,2501674
2017.04.11,275.49,58158,2640835
2017.04.12,276.21,56648,2601268
2017.04.13,279.12,65901,3315205
2017.04.14,277.31,43800,2070641
2017.04.17,278.1,46967,2260444
2017.04.18,278.23,53658,2595674
2017.04.19,276.49,64208,3148815
2017.04.20,277.76,68259,3799775
2017.04.21,280.05,59505,3446838
2017.04.24,281.96,67070,2821181
2017.04.25,285.41,75781,3715673
2017.04.26,286.78,83207,3962375
2017.04.27,287.34,82182,4703609
2017.04.28,287.21,77494,4430880
2017.05.02,289.65,68451,3619064
2017.05.04,292.47,63699,3329343
2017.05.08,299.86,100380,5279655
2017.05.10,296.19,126203,6978264
2017.05.11,299.75,108552,5966504
2017.05.12,298.25,71604,3907015
2017.05.15,298.87,57997,3130607
2017.05.16,299.67,92050,4251114
2017.05.17,299.34,77063,3755667
2017.05.18,298.47,82674,4045986
2017.05.19,298.08,73658,4276116
2017.05.22,300.63,69187,4359393
2017.05.23,301.36,76010,4156074
2017.05.24,301.71,87021,3907857
2017.05.25,305.22,99271,4602407
2017.05.26,306.96,95824,4503802
2017.05.29,306.52,104856,4047440
2017.05.30,304.59,92834,3929710
2017.05.31,304.67,112031,5649068
2017.06.01,304.03,75806,3738742
2017.06.02,307.83,90845,4352958
2017.06.05,307.33,74822,3618293
2017.06.07,305.68,85818,4291565
2017.06.08,306.25,124426,5820332
2017.06.09,309.38,117480,5470567
2017.06.12,306.24,94721,4592194
2017.06.13,308.02,93708,4334788
